title;author;format;categories;cover_url;description;slug
Ich bin hier bloß der Opa;Friedbert Stohner;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/711DY4Q8MCL._AC_UY218_.jpg;Jetzt kommt der Opa zu Wort! Denn über das Leben als rüstiger Rentner und Enkelaufpasser gibt es jede Menge zu erzählen. Die vier Enkel übernehmen? Für Opa ein Klacks! Natürlich fährt er mit den Kindern in den Vergnügungspark, am Familiensonntag, das schafft er doch spielend. Bei der Fahrt hätte Opa ahnen können, dass das alles doch nicht so spaßig wird wie gedacht – jedenfalls nicht für ihn. Kaum stehen sie im Stau, hopsen die Kinder auch schon außer Rand und Band durchs Auto. Aber Opa hat Nerven wie Drahtseile und sortiert die Kinderschar wieder auf ihre Sitze. Mit der Opa-Ruhe ist es zum ersten Mal vorbei, als beim Schlangestehen vor dem Vergnügungspark plötzlich der jüngste Enkel fehlt …;ichbinhierblossderopa
Der Tag, an dem wir wegliefen;Laura Summers;Buch, Hörbuch;Freundschaft & Familie, Gewalt & Missbrauch;https://m.media-amazon.com/images/I/91mim2pIbsL._AC_UY218_.jpg;Manchmal würde Vicky ihre Geschwister am liebsten auf den Mond schießen: Ihre 14-jährige Zwillingsschwester Rihanna ist geistig behindert und bringt Vicky dauernd in peinliche Situationen, und ihr zehnjähriger Bruder Jamie hat sowieso nur Unsinn im Kopf. Aber als die Geschwister ihre Pflegeeltern verlassen müssen und getrennt werden sollen, ist ganz klar: So nicht! Wir bleiben zusammen. Und wenn wir weglaufen müssen. Gesagt, getan. Das Ziel ist ihre alte Großtante, in deren Haus am See sie früher glücklich waren. Der Weg dorthin ist voller Gefahren, aber auch voller Abenteuer. Endlich angekommen müssen die Geschwister jedoch feststellen, dass die alte Dame mittlerweile verstorben ist. Und jetzt?;dertagandemwirwegliefen
Mino und die Kinderräuber;Franco Supino;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie;https://m.media-amazon.com/images/I/51UniOe8ASL._AC_UY218_.jpg;Eine Abenteuergeschichte sollen Chiara, Selma und Drago für den Deutschunterricht schreiben. Auf dem Schulhof unter dem Kastanienbaum hat Chiara eine Idee. Sie erinnert sich an eine Geschichte, die ihr verstorbener Nonno oft erzählt hat. Das klang sehr nach Abenteuer – immerhin kamen Kinderräuber darin vor! Natürlich wollen Selma und Drago auch mitreden. So versetzen sich die drei kurzerhand selber als Protagonisten in ihre Geschichte, die von einer Zeit handelt, in der Nonno Mino noch ein Kind war und in der eine gewisse Nougatcrème gerade in Mode kam. Und selbstverständlich geht es in der Geschichte auch um Nonnas Gnocchi!;minounddiekinderraeuber
Wie man seine durchgeknallte Familie überlebt;Antje Szillat;Buch, Hörbuch;Freundschaft & Familie, Psychische Gesundheit;https://m.media-amazon.com/images/I/81+wHPrAs8L._AC_UY218_.jpg;"Hi, ich heiße Rick, bin elfeinhalb Jahre alt und Eishockeystürmer. Ich wohne mit meinem Pa und seinem Kumpel Wutz in einer hundertprozentigen Männer-WG. Selbst unsere Katze Gismo ist ein Kerl! Mein Leben war echt genial, bis sich mein Pa ausgerechnet in meine Lehrerin verknallt hat und auch noch meinte, dass aus mir und ihrem Strebersohn Freunde werden könnten. Jetzt mal im Ernst: Hat der sie noch alle? Natürlich hab ich mir sofort den perfekten Plan einfallen lassen, damit die zwei sich schnell wieder aus unserem Leben verziehen. Doch damit ging der ganze Ärger erst richtig los... aber hört selbst!";wiemanseinedurchgeknalltefamilieueberlebt
Pechsträhnen färbt man pink;Mina Teichert;Buch, Hörbuch;Freundschaft & Familie, Selbstbewusstsein & Selbstliebe, Emotionale Intelligenz & Empathie;https://m.media-amazon.com/images/I/81OLZAYZPSL._AC_UY218_.jpg;Winnis größter Wunsch ist es, bei diesem Tanzwettbewerb zu gewinnen. Deshalb färbt sie sich ihre Haare pink und verbringt jede freie Minute mit Tanzen. Da kommt ihr Fiete alles andere als gelegen. Er ist zur Reha auf Winnis Heimat-Insel und hat in etwa die Coolness einer Wassermelone. Doch als einige Inseltiere verschwinden, machen sich die beiden zusammen mit Winnies zahmer Möwe Chickenwing auf, um dem Übeltäter auf die Spur zu kommen. Fiete gerät bei dieser Aktion jedoch in Lebensgefahr und Winni muss feststellen, dass sie ihn lieber hat als geplant. Es beginnt ein Wettlauf gegen die Zeit …;pechstraehnenfaerbtmanpink
Maxi;Gerti Tetzner;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/51FcsQn-BmL._SY445_SX342_ControlCacheEqualizer_.jpg;"Maxi ist unzufrieden mit ihrem Leben: die Mutter ist oft nicht daheim, der Vater hat die Familie verlassen. Der ""Große Geist"" soll ihr helfen.";maxi
Unterwegs mit Kaninchen;Benjamin Tienti;Buch, Hörbuch;Freundschaft & Familie, Tiere;https://m.media-amazon.com/images/I/81q01-8D0nL._AC_UY218_.jpg;"""Unterwegs mit Kaninchen"" von Benjamin Tienti ist ein herzerwärmendes Abenteuer, das junge Leserinnen und Leser ab 10 Jahren durch seine authentische Erzählweise und warmherzige Charaktere begeistert. Im Mittelpunkt der Geschichte steht Andrea, der gemeinsam mit seinem Kaninchen Maikel und dem unfreiwilligen Begleiter Fidaa eine unerwartete Reise antritt, um Maikel zu retten. Diese ungewöhnliche Konstellation führt zu einer Reihe von humorvollen und berührenden Momenten, die das Buch zu einer unvergesslichen Lektüre machen.";unterwegsmitkaninchen
Die knallbunte Couch;Jutta Treiber;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie, Psychische Gesundheit;https://m.media-amazon.com/images/I/71LTfpjEXzL._AC_UY218_.jpg;"Herr Benno hat etwas, das die meisten Menschen nicht haben … Herr Benno hat Zeit! Diese Zeit möchte er gerne den anderen Menschen schenken. Doch wie soll das gehen?Als er den kleinen leerstehenden Laden sieht, fasst er einen Entschluss:""Zeit und Zuhören – das knallbunte Zeitgeschäft"" steht bald über dem Eingang. Und in der grauen Kleinstadt spricht sich herum, dass man dort reden oder die Stille genießen, lesen, Hausaufgaben machen oder Jause essen kann. Rund um die knallbunte Couch, die dort steht, wird es ganz schön lebendig! Ein wunderbar kluges, liebevolles und beglückendes Buch. Achtsamer Umgang miteinander schenkt Freude.";dieknallbuntecouch
Jonas ist weg;Jutta Treiber;Buch, Hörbuch;Freundschaft & Familie, Gemeinschaft;https://lesen.tibs.at/sites/default/files/artikelbilder/cover-jonas.JPG;Als Jonas eines Abends nicht nach Hause kommt, ist seine Mutter verzweifelt und ratlos. Niemand scheint etwas über Jonas' Verschwinden zu wissen. Im Zuge der Ermittlungen stößt Kommissar Klug auf einige Ungereimtheiten. Was ist in der Schule passiert? Wer ist Sebastian? Warum hat Jonas so lange geschwiegen?;jonasistweg
Lola reicht's;Heidi Troi;Buch, Hörbuch;Freundschaft & Familie, Selbstbewusstsein & Selbstliebe, Gerechtigkeit & Konfliktlösung;https://m.media-amazon.com/images/I/81UKgleO8HL._AC_UY218_.jpg;Lola macht es wütend, wenn ihr Bruder Max sie „Zwerg“ nennt oder „Pummelchen“ und sie an den Zöpfen zieht. Mama kriegt oft gar nicht mit, wie gemein Max zu Lola ist, und Papa hält sich meistens raus. In der Schule gehen die Hänseleien weiter … Zum Glück gibt es Lolas Schulfreund Sansibar, der zu ihr hält. Er hält sogar dann zu ihr, als Lola beschließt, einfach auszureißen, so wie Pippi Langstrumpf … Ob das wohl gut geht? Heidi Troi hat eine ebenso berührende wie humorvolle Geschichte geschrieben. Ihr liebevolles Verständnis für die Sorgen und Nöte eines kleinen Mädchens prägt diesen Text – verfasst in einer gut lesbaren, witzigen und gleichzeitig poetischen Sprache;lolareichts
Taschengeld;François Truffaut;Buch, Hörbuch;Freundschaft & Familie, Gerechtigkeit & Konfliktlösung;https://m.media-amazon.com/images/I/41gAXGMFq9L._SX342_SY445_ControlCacheEqualizer_.jpg;18 Episoden aus dem Leben einer Schulklasse. Ein Kurzroman, der Kinder wie Erwachsene gleichermaßen erfreuen kann;taschengeld
Horch, die Stimmen des Sommers;Helen Tucker;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie;https://images.booklooker.de/s/02weRa/Helen-Tucker+Horch-die-Stimmen-des-Sommers.jpg;Einem 10-jährigen Jungen gelingt es, ein altes Familiengeheimnis zu lüften und damit seiner attraktiven Tante zu privatem Glück zu verhelfen.;horchdiestimmendessommers
Die Abenteuer von Tom Sawyer und Huckleberry Finn;Mark Twain;Buch, Hörbuch;Freundschaft & Familie, Selbstbewusstsein & Selbstliebe;https://m.media-amazon.com/images/I/71GR95bwgVL._AC_UY218_.jpg;Artigsein, Stillsitzen und Tischmanieren sind ihnen einfach ein Graus: Für die beiden unzertrennlichen Titelhelden, den Waisenjungen Tom Sawyer und den Herumtreiber Huckleberry Finn, sollen die Tage und Nächte schließlich voller Freiheit, Spaß und Abenteuer sein! Und davon gibt es in diesen beiden herrlich frechen Romanen, die der große Mark Twain (1835–1910) seinem berühmten Lausbubenpaar widmete, nun wahrlich eine ganze Menge. Nicht zuletzt sein unverhohlen kritischer Blick und sein spielerisch gekonnter Umgang mit der Alltagssprache der Südstaaten machen Twains Romane bis heute zu weltweiten Klassikern nicht nur der Jugendliteratur.;dieabenteuervontomsawyerundhuckleberryfinn
Andere Länder, andere Küsse;Hortense Ullrich;Buch, Hörbuch;Freundschaft & Familie, Vielfalt & Diversität;https://m.media-amazon.com/images/I/51Qb9F9ELIL._AC_UY218_.jpg;Jojos Leben ist ein einziges Chaos: Nicht nur, dass beim Schüleraustausch statt einem Mädchen ein Junge bei ihr gelandet ist. Damit würde sie ja noch klarkommen. Schließlich ist Nicola total nett, charmant und kann super kochen. Doch dann verliebt sich Jojos beste Freundin Lucilla in Nicola. Auch das wäre nicht weiter schlimm. Wenn Nicola nicht ebenfalls unsterblich verliebt wäre. Und zwar ausgerechnet in Lucillas Austauschschülerin.;anderelaenderanderekuesse
Für alle Fälle - Luna;Hortense Ullrich;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/519hDO2xfsL._AC_UY218_.jpg;Wo immer Luna jemanden in Not sieht oder ein Problem wittert, ist sie zur Stelle. Ist doch klar! Nur leider weiß das meist niemand zu schätzen. Dass ihre Hilfsaktionen ab und an im mittleren Chaos enden – dafür kann sie ja schließlich nichts. Auch als ihre beste Freundin dringend eine Oma und einen Opa für den Großeltern-Tag an der Schule braucht, hat Luna sofort einen Plan parat: Bestimmt können sie sich ein paar rüstige Senioren aus dem Altenwohnheim ausleihen ...;fuerallefaelleluna
Happy End mit Schokochaos;Hortense Ullrich;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie;https://m.media-amazon.com/images/I/51N0LLtO88L._SY445_SX342_ControlCacheEqualizer_.jpg;Himmel hilf! Sven ist wieder da, Jojos Exfreund und große Liebe. Immer wenn sie sich treffen, bringt er Jojo zum Lachen – und nicht nur das. Ein ganzer Schwarm Schmetterlinge flattert in ihrem Bauch. Dabei ist Jojo doch noch mit Benedikt zusammen … Eine Jojo-Geschichte Freche Mädchen – freche Bücher!;happyendmitschokochaos
Hexen küsst man nicht;Hortense Ullrich;Buch, Hörbuch;Freundschaft & Familie, Toleranz & Respekt, Kreativität & Fantasie;https://m.media-amazon.com/images/I/51buLebNsaL._AC_UY218_.jpg;Jojo hat ein Geheimnis, das sie nur ihrem Tagebuch anvertraut: sie kann zaubern! Der Preis: Sie darf keinen Jungen küssen. Sonst verschwindet die Zauberkraft. Für Jojo kein Problem. Oder doch?;hexenkuesstmannicht
Liebe macht blond;Hortense Ullrich;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/41rYDCWRPkL._AC_UY218_.jpg;Jojo färbt sich für ihren Freund Eberhard, der immer nur wenig Zeit für sie hat, die Haare platinblond und führt jeden Tag seinen Hund aus. Eines Tages entdeckt sie den wahren Grund für seinen Zeitmangel und sinnt auf Rache. ;liebemachtblond
Nesthäkchen und ihre Puppen;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/81w2fEoBGFL._AC_UY218_.jpg; Nesthäkchen nimmt ihre Aufgaben als Puppenmutter sehr ernst. Als gar ihr Liebling, ihre Gerda, ernstlich erkrankt, ist sie ganz ratlos und sucht Hilfe bei ihrem Vater, aber auch er als Arzt kann nicht helfen. Da erbarmt sich Knecht Ruprecht persönlich der Not der kleinen Mutter, und alles wird gut. Eine große Puppenhochzeit beschließt den ersten Nesthäkchen-Band. ;nesthaekchenundihrepuppen
Nesthäkchens erstes Schuljahr;Else Ury;Buch, Hörbuch;Freundschaft & Familie, Gemeinschaft;https://m.media-amazon.com/images/I/51W0oTCOrNL._AC_UY218_.jpg;Der erste Schultag ist für Nesthäkchen ein großes Ereignis. Sie gibt sogar ein Gastspiel in der Klasse der großen Mädchen, wohin sie sich verlaufen hat. Der Zoologische Garten ist Schauplatz mancherlei Abenteuer. Nesthäkchen erlebt den ersten Schulausflug. Im Riesengebirge, dem Reiche Rübezahls, verbringt Annemarie die Ferien. Als Belohnung für gute Zensuren darf Nesthäkchen ein Kinderfest veranstalten.;nesthaekchenserstesschuljahr
Nesthäkchen im Kinderheim;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/51fD3qBxfyL._AC_UY218_.jpg;Nesthäkchen wird zur Erholung nach einer schweren Krankheit auf die Insel Amrum geschickt. Hier lernt unsere verwöhnte Annemarie fern von Vater und Mutter sich einzufügen in eine Gemeinschaft. Unser Wildfang gerät auch hier in ein böses Abenteuer: Nesthäkchen und Peter haben sich von der Kinderschar getrennt und müssen vor der Sturmflut fliehen, sie werden gerettet, doch die ausgestandene Angst bleibt eine ernste Mahnung.;nesthaekchenimkinderheim
Nesthäkchen und der Weltkrieg;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/61PqeF2Yr9L._AC_UY218_.jpg;Annemarie verbringt die Zeit des Ersten Weltkriegs in der Obhut der Großmutter, da ihr Vater als Militärarzt in Frankreich weilt und die Mutter in England feststeckt. Das Kind stellt bald fest, dass der Krieg, neben den damit einhergehenden Wirren und Prüfungen, auch das tägliche Leben entscheidend verändert. ;nesthaekchenundderweltkrieg
Nesthäkchens Backfischzeit;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/71Xrt193GJL._AC_UY218_.jpg;Nesthäkchen feiert im Kreis ihrer Freundinnen den 16. Geburtstag. Noch immer ist sie zu allen Scherzen bereit, auch wenn die Schule ihre ganze Aufmerksamkeit fordert. Schöne Ferienwochen verlebt Nesthäkchen im Sommer auf dem Gutshof ihres Onkels und gewinnt einen bleibenden Eindruck von den Nöten und Freuden eines Landwirtes. Der Höhepunkt der schönen Jahre ist die Tanzstunde. Nesthäkchen ist eine beliebte Tänzerin. Nach bestandenem Abitur finden sich Annemarie und ihre Freundinnen zu einer fröhlichen Nachfeier und verabschieden sich von ihren Lehrern mit einem kleinen Stegreifspiel. ;nesthaekchensbackfischzeit
Nesthäkchen fliegt aus dem Nest;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/411Tnv5VS+L._AC_UY218_.jpg;"Ganz unbekümmert regt Nesthäkchen zum ersten Mal ihre Schwingen. Mit zwei Freundinnen fährt sie zum Studium nach Tübingen; das Studienjahr soll sie für eine Assistentenstelle in der väterlichen Praxis vorbereiten. Stunden ernsten Lernens wechseln mit heiterer Geselligkeit und frohen Wanderfahrten durch das Schwabenland. Auf einem Fest im Neckartal erwacht leise eine erste Neigung in Annemaries Herzen. ";nesthaekchenfliegtausdemnest
Nesthäkchen und ihre Küken;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/71jyYFZnKxL._AC_UY218_.jpg;Nesthäkchen begegnet uns in diesem Band als glückliche Mutter. Eines Tages fliegt auch ihr Vronli zum ersten Mal aus dem Nest, es muss zur Schule. Vor Schicksalsschlägen bleibt sie indes nicht bewahrt. Eine Feuersbrunst bedroht das Leben der Kinder und zerstört ihr Heim. Niemals aber lässt sich Annemarie entmutigen, tapfer geht sie gegen alle Schwierigkeiten an. Die Doppelverlobung des Bruders Klaus und des Neffen Peter mit Nesthäkchens Freundinnen Ilse und Marlene beendet dieses spannende Buch.;nesthaekchenundihrekueken
Nesthäkchens Jüngste;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/516eBZ5X4ZL._AC_UY218_.jpg;Ursel, Nesthäkchens Jüngste, möchte gern Sängerin werden. Aber auf Wunsch ihres Vaters muss sie als Banklehrling beginnen. Die frohen Stunden der Hausmusik mit einem brasilianischen Geschwisterpaar sind ihre größte Freude. Der Musik verdankt Ursel ihr Lebensglück, aber anders als sie gedacht. Sie verlobt und vermählt sich mit Milton Tavares, ihrem Musikpartner, dem Sohn eines brasilianischen Kaffeekönigs. ;nesthaekchensjuengste
Nesthäkchen und ihre Enkel;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/61I7ObOtIYL._SY445_SX342_ControlCacheEqualizer_.jpg;Frau Ursel, Nesthäkchens Tochter, lebt nun in Sao Paulo, wo ihr Gatte große Kaffeeplantagen besitzt. Die größte Freude für Nesthäkchen ist die Ankunft ihrer Enkeltöchter Anita und Marietta in Deutschland. Als Ursel mit ihrem Gatten unerwartet zu einem mehrmonatigen Deutschlandbesuch eintrifft, kann Nesthäkchen sich selbst davon überzeugen, dass ihr Kind sein Glück im Tropenland gefunden hat, ihr Opfer war nicht umsonst. Und mit leichterem Herzen fügt sie sich in die neue Trennung.;nesthaekchenundihreenkel
Nesthäkchen im weißen Haar;Else Ury;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/51t5c2MyBNL._AC_UY218_.jpg;Marietta, Nesthäkchens Enkelin, hat sich entschlossen, in Deutschland zu bleiben. Tief und fest hat die zarte Brasilianerin im deutschen Boden Wurzeln geschlagen. Wohl geht ihr die Trennung von ihrer Zwillingsschwester sehr nahe, doch die Aufgabe, die sie als die ihre erkannt hat, geht vor. Als Sozialfürsorgerin findet das in Luxus und Überfluss aufgewachsene Mädchen Sinn und Ziel seines Lebens. Auf einer Italienreise trifft Marietta in Genua ihren aus Amerika heimgekehrten Vetter Horst und reicht ihm nach Vollendung ihrer großen Aufgabe die Hand zum gemeinsamen Lebensweg.;nesthaekchenimweissenhaar
Alles wird gut, immer;Kathleen Vereecken;Buch, Hörbuch;Freundschaft & Familie, Emotionale Intelligenz & Empathie, Psychische Gesundheit;https://images.thalia.media/00/-/007c2b13344d46788b5a25dcb28b3abe/alles-wird-gut-immer-gebundene-ausgabe-kathleen-vereecken.jpeg;Sommer 1914. Alice geht mit ihrer besten Freundin auf die Kirmes. Die Mädchen fahren Kettenkarussell, bis ihnen schwindlig wird, essen Süßigkeiten und lachen, dass ihnen die Bäuche wehtun. Anschließend legen sich die beiden ins Gras und schauen in den Himmel. Etwas liegt in der Luft. „Es wird keinen Krieg geben“, hat die Tante aus der Hauptstadt gesagt. Die Mutter von Alice meint: „Alles wird gut, immer.“ Dann kommen die ersten Flüchtlinge: müde und sorgenvoll dreinblickende Männer, Frauen und Kinder mit Wagen voller Hausrat. Eines Tages verlässt auch Alice mit ihrer Familie die Stadt …;alleswirdgutimmer
Ich bin Jan und stinknormal;Kathleen Vereecken;Buch, Hörbuch;Freundschaft & Familie, Selbstbewusstsein & Selbstliebe, Vielfalt & Diversität;https://m.media-amazon.com/images/I/511y6WI2YTL._SY445_SX342_ControlCacheEqualizer_.jpg;Jan ist neun und stinknormal. Sein Vater rennt schneller als der Wind, seine Mutter spielt so schön Geige, dass alle verstummen, und Schwester Helene ist ein Rechengenie. Jan wäre zu gerne auch besonders, aber was er auch versucht, es klappt nicht so recht. Zum Glück weiß seine Freundin Nina mit den roten Locken Rat: Zusammen kaufen sie das Guinness-Buch und sehen verschiedenen Leuten beim Aufstellen von Rekorden zu. Schon merkwürdig, was die sich so alles einfallen lassen, um anders zu sein … Als sich den Kindern schließlich die Chance bietet, selbst ins Guinness-Buch zu kommen, lehnt Jan zu Ninas großer Überraschung ab: „Jeder will etwas Besonderes. Jeder muss etwas Besonderes tun. Und ich nicht. Nicht mehr. Wenn das nicht besonders ist!“ Eine lustige und herzerfrischende Kindergeschichte mit vielen fröhlichen Illustrationen!;ichbinjanundstinknormal
Alle lieben Emma;Maja von Vogel;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/411hmk9AYnL._AC_UY218_.jpg;"Niemals langweilig! Bei Emma geht's drunter und drüber Was für ein Montag! Erst jubelt Emma, weil Bastian sich mit ihr zum Eisessen verabredet, aber dann wird es richtig gemein: Emmas Vater verlässt ihr schönes Bauernhaus und zieht zu einer ""Bekannten"". Kurz darauf verkündet Emmas Mutter, dass sie eine Wohngemeinschaft mit ihrer Freundin Gesa und deren Tochter Mona plant. Emma kann es nicht fassen: Soll sie ihr Zimmer etwa mit der blöden ""Nebelkrähe"" Mona teilen? Niemals! Als ihr Zwillingsbruder Tim sich dann auch noch mit Mona anfreundet, reicht es Emma!";alleliebenemma
Emma traut sich was;Maja von Vogel;Buch, Hörbuch;Freundschaft & Familie, Selbstbewusstsein & Selbstliebe;https://m.media-amazon.com/images/I/51Upf1PakKL._AC_UY218_.jpg;Endlich Ferien! Emma träumt vom Küssen Emma traut ihren Ohren nicht: Ihre Mutter und deren Freundin Gesa wollen ein Gesundheitszentrum eröffnen. Und das ausgerechnet in ihrem schönen Bauernhaus! Der Gedanke, dass wildfremde Menschen in ihrem Garten Yoga machen oder in ihrer Küche Vollwertkochkurse abhalten, ist alles andere als verlockend. Schließlich sind Sommerferien. Und da will Emma gemütlich in ihrer Hängematte liegen und von Bastian träumen. Und vom Küssen - denn das gehört zur Liebe dazu, sagt ihre beste Freundin Lea! Der zweite Band der Mädchenbuchserie - eine witzig und temporeich erzählte Familien- und Freundschaftsgeschichte.;emmatrautsichwas
Für alle Fälle Emma;Maja von Vogel;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/41jUaIJXnJL._AC_UY218_.jpg;Eine knifflige Aufgabe für Detektivin Emma Emma ist ganz schön durcheinander. Mit Lea, ihrer besten Freundin, ist sie immer noch zerstritten und mit Bastian läuft es auch nicht so toll, wie Emma sich das vorgestellt hat. Da ist sie eigentlich ganz dankbar, als Mona sie um Hilfe bittet: Mona will endlich herausfinden, wer ihr Vater ist. Weil die Mädchen aus Monas Mutter leider überhaupt nichts herausbekommen, nehmen sie die Ermittlung selbst in die Hand. Ihr einziger Anhaltspunkt ist ein altes Foto von Monas Vater - wirklich ein kniffliger Fall. Doch dann haben die beiden eine Spur … Der dritte Band der erfolgreichen Serie für Mädchen - frisch, frech und mit Mädchenpower!;fuerallefaelleemma
Emma hebt ab;Maja von Vogel;Buch, Hörbuch;Freundschaft & Familie;https://m.media-amazon.com/images/I/517RkqXWOML._AC_UY218_.jpg;Für alle Emma-Fans: Der neue Band ist da! „Du bist das tollste Mädchen, das ich je gesehen habe!“ Damit hat Felix Emmas Herz zum Stolpern gebracht. Doch die neue Liebe ist gar nicht so einfach, denn Felix wohnt im Internat, und die beiden können sich nur Briefe und E-Mails schreiben. Außerdem vermisst Emma ihren Zwillingsbruder Tim, der jetzt ebenfalls aufs Internat geht. Und auch ihre Oma, die vor Kurzem gestorben ist, fehlt Emma ganz schrecklich. Gut, dass bald der Umzug mit der kunterbunten Patchwork-Familie auf den großen Bauernhof ansteht und Emma sich auf ihre Geburtstagsparty freuen kann! Das wird ein riesengroßes Fest! Und vielleicht kann Felix ja auch kommen … Band 10 der beliebten Mädchenreihe - sympathisch, frech, chaotisch.;emmahebtab
Anna gibt es noch;Ida Vos;Buch, Hörbuch;Freundschaft & Familie;https://images2.medimops.eu/product/adb6a5/M03596802482-220px.webp;Drei Jahre mußte Anna sich vor den Nazis verstecken. Dann ist der Krieg vorbei, und sie lebt wieder bei ihren Eltern, die ebenfalls untergetaucht waren. Es ist schwierig für die Familie, plötzlich ein normales Leben zu führen. Zuviel ist passiert, zu viele Menschen gibt es nicht mehr. Anna gibt es noch. Aber wenn man so lange allein war, ist es schwer, sich wieder einzugewöhnen. Und da ist Frau Neumann, eine deutsche Jüdin, die während des Krieges in die Niederlande fliehen mußte und seitdem noch immer nach ihrer Tochter Fannie sucht. Die beiden werden Freunde, und Anna gelingt es sogar, Fannie zu finden.§Ida Vos, die selbst untertauchen mußte, hat in -Anna gibt es noch- Ereignisse geschildert, die sie selber erlebt oder von anderen erfahren hat. Gerade das Fehlen jeder Sensation macht das Buch so anrührend und den Schrecken so nachvollziehbar.;annagibtesnoch
Die geheime Schachtel;Angélique de Waard;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie;https://m.media-amazon.com/images/I/416A3DVFWRL._SY342_.jpg;Sterres Vater ist lieb, doch immer weniger zu Hause, die Mutter ist depressiv und trinkt. Verantwortungs- und liebevoll hält Sterre die Probleme von ihrem kleinen Bruder fern. Ihre Sorgen vertraut sie nur kleinen Zetteln an, die sie in einer Schachtel aufbewahrt. Aber dann passiert etwas, das Sterre nicht einmal ihrer geheimen Schachtel anvertrauen kann.;diegeheimeschachtel
Billionen Boy;David Walliams;Buch, Hörbuch;Freundschaft & Familie, Kreativität & Fantasie, Selbstbewusstsein & Selbstliebe;https://books.google.de/books/content?id=efob4Gy91gUC&pg=PA1&img=1&zoom=3&hl=en&bul=1&sig=ACfU3U3BZhjakNAjLU3tDbD0RWGjh-ZHrQ&w=1280;Joe Spud hätte eigentlich allen Grund, glücklich zu sein. Genauer gesagt Billionen Gründe, denn er ist der reichste Zwölfjährige der Welt. Er bekommt von seinem Vater alles, was man sich nur vorstellen kann: einen Formel-1-Wagen, fünfhundert Paar Turnschuhe, einen Orang-Utan als Butler, aber etwas ganz Entscheidendes fehlt ihm: ein Freund. Daher bittet er seinen Vater um das Unvorstellbare - auf eine ganz normale Schule gehen zu dürfen, inkognito. Damit beginnen natürlich jede Menge urkomische Verwicklungen, die am Ende zeigen, dass mit Geld und Reichtum nicht alles unbedingt gut wird.;billionenboy
Der Klassendieb;Christian Waluszek;Buch, Hörbuch;Freundschaft & Familie, Gemeinschaft, Gerechtigkeit & Konfliktlösung;https://images.booklooker.de/s/01N4Kf/Christian-Waluszek+Der-Klassendieb.jpg;Ausgelöst durch den Diebstahl eines teuren Füllers brechen in der angeblich so guten Gemeinschaft einer neunten Klasse Konflikte aus, die bis dahin nur im Untergrund geschwelt haben. Eine Zeit der Intrigen und Verdächtigungen beginnt und lockt immer mehr Täter und Opfer auf den Plan. ;derklassendieb
Adrians Geschichte;Nicolette Webel;Buch, Hörbuch;Freundschaft & Familie, Diskriminierung, Mehrsprachigkeit & Migration;https://m.media-amazon.com/images/I/A1KGo-qnwJL._SY385_.jpg;Auf einer kleinen italienischen Insel verbringt Adrian eine glückliche Kindheit. Wenn er nicht mit seinem Vater zum Fischen hinausfährt oder dabei zusieht, wie seine Mutter wertvolle Mosaike restauriert, verabredet er sich mit seinem besten Freund Luca. Zusammen rudern die Jungen jeden Tag zur Schule nach Venedig, dort lernen sie die unternehmungslustige Tosca kennen. In ihrer Freizeit erkunden die Kinder die außergewöhnliche Stadt, die Inseln und die Wasserwelt der Lagune. Als Adrian sich zu seinem zwölften Geburtstag wünscht, den berühmten Karneval in Venedig zu besuchen, verändert sich sein Leben jedoch auf dramatische Weise.;adriansgeschichte
